Years,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
New Mexico,1100318,1174982,1195440,1215961,1237082,1259603,1281522,1298935,1309702,1323334,1320090,1326956,1323412,1320231,1311879,1306384,1302249,1296442,1291056,
South Dakota,461790,474177,478156,482988,489454,494100,500357,505829,510554,514954,515042,519971,525091,528467,529395,529310,531510,534640,536739,
Alaska,403926,430777,439012,445027,454904,461942,468998,473703,479192,484160,469411,477098,479032,479110,477265,475135,474885,470170,466426,
Hawaii,756387,803503,814991,823991,841037,857586,871208,874662,886887,894151,858630,864222,865034,864487,861555,859239,858171,849740,841761,
Massachusetts,4116267,4195245,4225886,4244491,4252509,4264797,4291251,4324438,4358081,4394174,4409909,4446971,4465419,4488692,4512863,4524375,4533536,4546403,4557479,
North Dakota,404861,408782,410985,413790,420498,422234,426736,429377,433254,437904,436386,443810,452197,465340,474500,483166,479400,475628,474859,
Utah,1357834,1449303,1479583,1502705,1528769,1565561,1606721,1646678,1684481,1716571,1730068,1755246,1776681,1803346,1826517,1855061,1895738,1937005,1974854,
California,21451895,22541143,22873268,23187306,23462760,23718604,23930949,24188907,24479503,24739148,24732874,24955479,25102943,25256268,25426990,25568550,25678816,25736106,25751913,
Indiana,3852326,3971586,3998019,4033907,4060747,4096956,4140966,4173308,4202132,4219004,4220714,4240393,4237393,4244749,4247052,4242253,4244814,4245703,4247282,
Mississippi,1784269,1829836,1839637,1850207,1866388,1880867,1882248,1899776,1913454,1919306,1906760,1910994,1904576,1904170,1899628,1892019,1887874,1884054,1873195,
Rhode Island,677331,684076,693909,700682,707207,705479,707667,706037,706929,706947,702754,702561,701107,699648,698989,697428,696019,693228,690286,
Wisconsin,3388197,3500334,3542099,3577812,3610846,3642450,3672128,3698967,3719217,3732574,3727489,3738759,3731442,3730769,3726380,3718263,3710239,3703445,3697736,
Florida,9539837,10252280,10515992,10766423,11089699,11415041,11659954,11836332,11949682,12005976,11980205,12145800,12213590,12302126,12437405,12616193,12821403,12991041,13132353,
Maine,801220,839426,850377,861234,868986,875168,881963,884856,887754,884840,874764,875665,868194,862460,858814,852778,848822,845395,841110,
New Hampshire,785758,830491,843833,855053,866260,873730,885021,889525,892728,891635,886678,888380,887431,884437,885529,883697,883929,884365,883873,
New Jersey,5374578,5497888,5549706,5592255,5625638,5657595,5689734,5719781,5752487,5779913,5787656,5806830,5794243,5788696,5777575,5765911,5751464,5743322,5736147,
South Carolina,2494840,2676302,2709135,2742165,2790612,2835188,2902686,2955277,3009834,3040311,3002391,3014646,3020886,3037388,3057796,3087631,3117116,3142550,3162692,
Wyoming,312396,327346,332508,336177,340380,344042,350339,358365,365060,373382,370134,370824,375191,376711,373839,372649,368896,362510,359028,
Alabama,2800040,2895023,2908910,2933214,2955224,2989399,3036319,3066205,3097923,3122644,3112084,3118882,3113436,3112690,3107774,3103217,3098320,3092391,3083964,
Georgia,5253211,5612477,5702886,5778720,5885357,5991565,6156479,6271329,6372966,6445288,6404469,6449401,6488336,6507248,6545016,6599929,6672122,6729670,6781262,
Maryland,3391664,3556050,3609854,3657032,3699875,3743069,3781183,3809603,3836282,3864462,3858478,3890776,3904368,3911855,3913209,3915096,3901744,3898254,3889212,
Oregon,2147204,2279431,2319930,2348582,2367761,2403061,2448342,2484068,2513739,2536175,2531400,2552523,2555405,2558062,2571080,2594775,2636625,2661235,2674412,
